CEO Weekly,5 genres,$75 ,28,69,2-4 Days,United States,Discrete,Yes,Yes
Celebrity News,3 genres,$75 ,54,43,2-4 Days,United States,Discrete,Yes,Yes
World Reporter,3 genres,$75 ,56,50,2-4 Days,United States,Discrete,Yes,Yes
Hood Critic,Music,$75 ,11,25,1-3 Days,"United States
Utah",No,Yes,Yes
BLK News,3 genres,$75 ,52,44,2-4 Days,"New York
United States",Discrete,Yes,Yes
NY Wire,4 genres,$75 ,56,53,2-4 Days,"New York
United States",Discrete,Yes,Yes
Daily Scanner,5 genres,$75 ,67,59,1 Day,United States,No,Yes,No
Entertainment Monthly News,3 genres,$75 ,56,53,2-4 Days,Global,Discrete,Yes,Yes
LA Collide,4 genres,$75 ,11,12,1-3 Days,"California
United States",Discrete,Yes,No
Influencer Daily,3 genres,$75 ,60,52,2-4 Days,Global,Discrete,Yes,Yes
Chicago Journal,4 genres,$75 ,52,56,2-4 Days,"Illinois
United States",Discrete,Yes,Yes
Artist Weekly,Music,$75 ,55,56,2-4 Days,United States,Discrete,Yes,Yes
Market Daily,3 genres,$75 ,59,45,2-4 Days,United States,Discrete,Yes,Yes
Portland News,4 genres,$75 ,57,42,2-4 Days,"Oregon
United States",Discrete,Yes,Yes
Entertainment Post,Entertainment,$75 ,55,46,2-4 Days,United States,Discrete,Yes,Yes
Cali Post,NewsMusic,$75 ,60,55,1-3 Days,"California
United States",No,Yes,Yes
Economic Insider,BusinessNews,$75 ,55,50,2-4 Days,United States,Discrete,Yes,Yes
Medium,News,$75 ,95,94,1 Day,Global,No,Yes,No
US Insider,4 genres,$75 ,57,54,2-4 Days,Global,Discrete,Yes,Yes
US Reporter,6 genres,$75 ,56,60,2-4 Days,Global,Discrete,Yes,Yes
Texas Today,News,$75 ,57,48,2-4 Days,"Texas
United States",Discrete,Yes,Yes
Networth.us,Business,$75 ,56,26,2-4 Days,United States,Discrete,Yes,Yes
Music Observer,Music,$75 ,60,44,2-4 Days,Global,Discrete,Yes,Yes
Famous Times,3 genres,$75 ,60,50,2-4 Days,"California
United States",Discrete,Yes,Yes
LA Entertainment Weekly,Entertainment,$75 ,63,22,1 Day,"California
United States",No,Yes,No
24 Hip Hop,3 genres,$75 ,31,47,1-3 Days,Global,No,Yes,No
Real Estate Today,3 genres,$75 ,18,50,2-4 Days,Global,Discrete,Yes,Yes
